customer_id,customer_name,email,signup_date,country
1,Allison Hill,jillrhodes@miller.com,2023-04-14,Macedonia
2,Kristina Baldwin,shaneramirez@gmail.com,2024-05-27,Sri Lanka
3,Jay Ramirez,curtis61@abbott-munoz.com,2024-05-04,Kuwait
4,Valerie Gray,barbara10@hotmail.com,2023-04-11,Sierra Leone
5,Bobby Hall,oramirez@martin-kelly.com,2024-04-13,Vietnam
6,Andrea Reid,stevennelson@watts.com,2023-04-11,Swaziland
7,Ethan Adams,jason76@ellis.net,2023-12-08,Estonia
8,Jessica Silva,wendytaylor@yahoo.com,2022-12-25,Saudi Arabia
9,Brian Burton,cruzcaitlin@yahoo.com,2023-11-30,El Salvador
10,Shannon Smith,kayla51@graham-chavez.com,2023-11-08,Serbia
11,Thomas Harrell,ericfarmer@hotmail.com,2024-06-11,Uzbekistan
12,April Nguyen,hickmannatasha@allen-allen.org,2022-12-16,Belize
13,Rose Spence,donnaarroyo@baker.biz,2023-03-29,Vanuatu
14,Monica Harris,pcarney@yahoo.com,2023-09-21,United Arab Emirates
15,Barbara Walker,chapmanjerry@gmail.com,2022-10-21,Barbados
16,Amy Jones,chad34@washington.org,2024-01-06,Lebanon
17,John Russell,hopkinsmichael@owens-daniel.com,2022-12-02,Iraq
18,Rebecca Rodriguez,amandataylor@ramirez.com,2023-09-25,Sri Lanka
19,Krista Williams,housemelinda@russell.com,2024-08-17,Iran
20,Carmen Smith,sara74@yahoo.com,2024-04-09,Saint Martin
21,Kristi Higgins MD,tanyariley@hotmail.com,2022-12-02,San Marino
22,Anthony Woods,yuchristopher@jones.com,2023-08-25,British Indian Ocean Territory (Chagos Archipelago)
23,Laura Riley,barnesbrandy@stewart.com,2023-04-19,Estonia
24,Michael Evans,smithchristine@hotmail.com,2023-01-01,Barbados
25,Katie Anderson,suarezmike@gmail.com,2023-09-21,Syrian Arab Republic
26,Elizabeth Riggs,sarah12@wilson-rodriguez.net,2023-02-13,Faroe Islands
27,Daniel Cooper,dking@gmail.com,2024-02-20,Jamaica
28,Amanda Cook,evan78@patterson.com,2023-12-13,Argentina
29,Lauren Hernandez,parkerrachel@nolan.com,2024-03-17,Bosnia and Herzegovina
30,Justin Baxter,michellecherry@keith.com,2024-05-10,Uzbekistan
31,Timothy Pham,erik16@garrison.com,2024-07-11,Uruguay
32,Eric Pope,andrewlee@ramirez-jones.com,2023-07-15,Norway
33,Meghan Anthony,wilsontara@gmail.com,2024-01-09,Estonia
34,Kyle Reed,gobrien@gmail.com,2023-08-11,United Arab Emirates
35,Dawn Fletcher,michaeljones@mccall.com,2024-04-27,United Arab Emirates
36,Eric Ortiz,angela36@hotmail.com,2024-10-15,Hong Kong
37,Stephanie Gilbert,akelley@yahoo.com,2023-05-26,Cote d'Ivoire
38,Kevin Pena,nramos@hotmail.com,2023-10-18,South Africa
